time,Variable,Value,Label
8,X9,700.7831414,1
9,X1,331.5794376,1
9,X10,630.7923409,1
9,X11,719.2686647,1
9,X12,571.1659203,1
9,X2,274.2530443,1
9,X3,518.7558693,1
9,X4,331.2392623,1
9,X5,274.0316909,1
9,X6,518.6999719,1
9,X7,571.9545356,1
9,X8,565.8276902,1
9,X9,700.9197963,1
10,X1,331.1315053,1
10,X10,630.1348294,1
10,X11,719.7624109,1
10,X12,571.837835,1
10,X2,274.981412,1
10,X3,518.3558373,1
10,X4,331.0953205,1
10,X5,274.4416363,1
10,X6,518.214848,1
10,X7,571.8884278,1
10,X8,566.2790823,1
10,X9,701.4903494,1
11,X1,333.6796718,1
11,X10,629.423392,1
11,X11,719.4823026,1
11,X12,571.2332885,1
11,X2,273.353135,1
11,X3,518.8062462,1
11,X4,333.6615623,1
11,X5,273.3205664,1
11,X6,518.9744361,1
11,X7,571.9667457,1
11,X8,565.3807729,1
11,X9,701.4999456,1
12,X1,332.4482703,1
12,X10,629.9322346,1
12,X11,718.458184,1
12,X12,571.2702657,1
12,X2,274.4212058,1
12,X3,518.5678685,1
12,X4,332.8301527,1
12,X5,274.140565,1
12,X6,518.9556134,1
12,X7,571.6419622,1
12,X8,566.541422,1
12,X9,701.4953956,1
13,X1,333.6333662,1
13,X10,630.738836,1
13,X11,719.0947982,1
13,X12,572.2653171,1
13,X2,274.4175324,1
13,X3,519.7626561,1
13,X4,333.1998885,1
13,X5,274.1198021,1
13,X6,519.5677824,1
13,X7,572.156283,1
13,X8,566.4272775,1
13,X9,701.652819,1
14,X1,331.9717967,1
14,X10,629.2878957,1
14,X11,719.9123882,1
14,X12,572.4614406,1
14,X2,273.240341,1
14,X3,518.9903059,1
14,X4,331.2861494,1
14,X5,273.9608104,1
14,X6,518.2811536,1
14,X7,572.8289248,1
14,X8,565.2181868,1
14,X9,700.7773228,1
15,X1,331.1881095,1
15,X10,629.2982407,1
15,X11,719.9516013,1
15,X12,572.3865888,1
15,X2,273.4082783,1
15,X3,518.3283174,1
15,X4,331.2400253,1
15,X5,273.5239947,1
15,X6,518.7201236,1
15,X7,572.5545674,1
15,X8,566.5310066,1
15,X9,701.8283193,1
16,X1,333.3179859,1
16,X10,630.8118805,1
16,X11,720.7168802,1
16,X12,572.5426109,1
16,X2,273.3817556,1
16,X3,518.4936971,1
16,X4,333.6772679,1
16,X5,273.7533203,1
16,X6,518.4350597,1
16,X7,572.2070374,1
16,X8,565.3940811,1
16,X9,700.7964434,1
17,X1,331.7364531,1
17,X10,630.5054004,1
17,X11,719.4966627,1
17,X12,571.5151118,1
17,X2,274.1912196,1
17,X3,518.0405482,1
17,X4,331.1316887,1
17,X5,274.4120889,1
17,X6,518.2328347,1
17,X7,571.4526319,1
17,X8,566.4880886,1
17,X9,701.3599557,1
18,X1,331.6648103,1
18,X10,630.1380097,1
18,X11,719.1190396,1
18,X12,572.6896197,1
18,X2,273.7342289,1
18,X3,518.0920376,1
18,X4,331.0603339,1
18,X5,273.7191636,1
18,X6,518.1777806,1
18,X7,572.3480144,1
18,X8,565.3564586,1
18,X9,701.3981351,1
19,X1,331.641539,1
19,X10,630.8651106,1
19,X11,719.6665013,1
19,X12,571.0940221,1
19,X2,273.1413503,1
19,X3,518.1986624,1
19,X4,331.7652486,1
19,X5,273.058561,1
19,X6,518.7946741,1
19,X7,571.260776,1
19,X8,566.2952311,1
19,X9,700.3832744,1
20,X1,331.7407507,1
20,X10,630.3618541,1
20,X11,719.6203249,1
20,X12,571.4300837,1
20,X2,273.1950189,1
20,X3,518.9034459,1
20,X4,331.1397775,1
20,X5,273.0855277,1
20,X6,518.191068,1
20,X7,571.9947929,1
20,X8,565.838553,1
20,X9,700.5508694,1
21,X1,332.9361401,1
21,X10,630.5396682,1
21,X11,719.9134709,1
21,X12,571.5972231,1
21,X2,273.0046309,1
21,X3,518.1505221,1
21,X4,332.5106335,1
21,X5,273.9743032,1
21,X6,518.4078167,1
21,X7,571.1888264,1
21,X8,566.0078688,1
21,X9,700.4217715,1
22,X1,332.2221956,1
22,X10,630.1231125,1
22,X11,719.5928857,1
22,X12,571.3989042,1
22,X2,274.0673534,1
22,X3,518.8189045,1
22,X4,332.8202901,1
22,X5,274.3145266,1
22,X6,518.5715852,1
22,X7,571.2613115,1
22,X8,566.8774262,1
22,X9,700.1735122,1
23,X1,331.5805844,1
23,X10,629.3145313,1
23,X11,719.4554167,1
23,X12,571.3439032,1
23,X2,273.0660242,1
23,X3,518.30039,1
23,X4,331.1448361,1
23,X5,273.3591662,1
23,X6,518.3183442,1
23,X7,571.6333835,1
23,X8,566.8837452,1
23,X9,701.6034523,1
24,X1,331.7158801,1
24,X10,630.1477304,1
24,X11,719.0272207,1
24,X12,571.5689619,1
24,X2,274.1052357,1
24,X3,518.9797706,1
24,X4,331.698697,1
24,X5,274.6784085,1
24,X6,518.3349715,1
24,X7,571.2170681,1
24,X8,565.635068,1
24,X9,701.7116294,1
25,X1,331.0615794,1
25,X10,630.09704,1
25,X11,719.174444,1
25,X12,571.7960798,1
25,X2,274.7280416,1
25,X3,518.516674,1
25,X4,331.9187508,1
25,X5,274.6947485,1
25,X6,518.7157881,1
25,X7,571.2131836,1
25,X8,566.0173127,1
25,X9,700.0943259,1
26,X1,334.0217587,1
26,X10,630.2950983,1
26,X11,720.9384759,1
26,X12,571.8971438,1
26,X2,274.5117886,1
26,X3,518.6416404,1
26,X4,334.966447,1
26,X5,274.2132276,1
26,X6,518.893624,1
26,X7,571.9191983,1
26,X8,566.9114513,1
26,X9,701.5986003,1
27,X1,331.8095272,1
27,X10,630.6362474,1
27,X11,719.9593786,1
27,X12,571.2951777,1
27,X2,274.5920313,1
27,X3,518.5078847,1
27,X4,331.4646717,1
27,X5,274.5945692,1
27,X6,518.8380045,1
27,X7,571.6348103,1
27,X8,566.8859141,1
27,X9,701.7284409,1
28,X1,333.6751613,1
28,X10,630.3389386,1
28,X11,719.3038749,1
28,X12,571.4435513,1
28,X2,274.3864705,1
28,X3,518.1702451,1
28,X4,333.8457319,1
28,X5,274.0241382,1
28,X6,518.4209177,1
28,X7,571.5647604,1
28,X8,566.3464453,1
28,X9,701.3394776,1
29,X1,331.9289967,1
29,X10,630.7852022,1
29,X11,719.2983265,1
29,X12,571.1113701,1
29,X2,274.8078452,1
29,X3,518.0324866,1
29,X4,331.9433041,1
29,X5,274.7657074,1
29,X6,518.2194479,1
29,X7,571.27055,1
29,X8,566.63139,1
29,X9,700.5697588,1
30,X1,331.2877467,1
30,X10,630.8828239,1
30,X11,719.0590986,1
30,X12,571.3551284,1
30,X2,274.5150048,1
30,X3,518.1385704,1
30,X4,331.9443935,1
30,X5,274.7182256,1
30,X6,518.3486367,1
30,X7,571.5206341,1
30,X8,566.5581446,1
30,X9,700.2681329,1
31,X1,332.0056717,1
31,X10,630.4144657,1
31,X11,720.0693657,1
31,X12,571.1839373,1
31,X2,274.0855508,1
31,X3,518.4136943,1
31,X4,332.0622799,1
31,X5,274.0391582,1
31,X6,518.5802362,1
31,X7,571.4536339,1
31,X8,566.2356346,1
31,X9,700.3771349,1
32,X1,331.0975889,1
32,X10,630.2065271,1
32,X11,719.8432808,1
32,X12,571.777102,1
32,X2,274.5295572,1
32,X3,518.3027991,1
32,X4,331.2104877,1
32,X5,274.8971448,1
32,X6,518.949979,1
32,X7,571.4429692,1
32,X8,566.7612166,1
32,X9,700.8157368,1
33,X1,331.9916291,1
33,X10,630.969896,1
33,X11,720.7930045,1
33,X12,571.0839927,1
33,X2,273.8528649,1
33,X3,518.3746684,1
33,X4,331.9879581,1
33,X5,273.9731941,1
33,X6,518.5524716,1
33,X7,571.1702486,1
33,X8,566.4527211,1
33,X9,700.7240808,1
34,X1,331.6952307,1
34,X10,630.4625504,1
34,X11,719.2169064,1
34,X12,571.8823755,1
34,X2,274.9521255,1
34,X3,518.4795648,1
34,X4,331.1753555,1
34,X5,274.5777393,1
34,X6,518.8524207,1
34,X7,571.1014051,1
34,X8,566.6086164,1
34,X9,700.6814446,1
35,X1,331.3180355,1
35,X10,630.6515528,1
35,X11,719.5601303,1
35,X12,571.324224,1
35,X2,274.2164643,1
35,X3,518.5462961,1
35,X4,331.4712976,1
35,X5,274.3457023,1
35,X6,518.5349963,1
35,X7,571.1217788,1
35,X8,566.4800194,1
35,X9,700.8933021,1
36,X1,333.1584829,1
36,X10,630.9364355,1
36,X11,719.7938178,1
36,X12,571.088472,1
36,X2,273.9027754,1
36,X3,519.1913335,1
36,X4,333.4276536,1
36,X5,273.7761915,1
36,X6,519.5749724,1
36,X7,571.164315,1
36,X8,566.1946544,1
36,X9,701.2574994,1
37,X1,331.3733214,1
37,X10,631.7802129,1
37,X11,720.2728328,1
37,X12,571.4807429,1
37,X2,274.7164235,1
37,X3,518.1764284,1
37,X4,331.1532451,1
37,X5,274.2743566,1
37,X6,518.1898336,1
37,X7,571.6336159,1
37,X8,566.0695238,1
37,X9,700.7426487,1
38,X1,331.6720203,1
38,X10,630.1128502,1
38,X11,720.4562867,1
38,X12,571.2935059,1
38,X2,273.0369055,1
38,X3,518.9065336,1
38,X4,331.2737585,1
38,X5,273.518565,1
38,X6,518.9226869,1
38,X7,571.0306012,1
38,X8,566.0612234,1
38,X9,701.2444994,1
39,X1,331.4958358,1
39,X10,630.9331909,1
39,X11,720.4374615,1
39,X12,570.6005962,1
39,X2,274.8715256,1
39,X3,518.5097729,1
39,X4,331.6469355,1
39,X5,274.5525437,1
39,X6,518.4333628,1
39,X7,570.5250268,1
39,X8,566.4130735,1
39,X9,701.1448552,1
40,X1,331.724151,1
40,X10,631.5756418,1
40,X11,719.3567271,1
40,X12,571.1248027,1
40,X2,274.5656838,1
40,X3,519.6396424,1
40,X4,331.0139143,1
40,X5,274.3202932,1
40,X6,519.7095791,1
40,X7,571.4102433,1
40,X8,566.7099474,1
40,X9,701.1905374,1
41,X1,331.5571541,1
41,X10,630.9461674,1
41,X11,720.8623156,1
41,X12,571.1395247,1
41,X2,274.3220415,1
41,X3,519.317918,1
41,X4,331.0801855,1
41,X5,274.5864537,1
41,X6,519.4899412,1
41,X7,571.1618712,1
41,X8,566.4806624,1
41,X9,701.0173229,1
42,X1,331.1798971,1
42,X10,630.9336614,1
42,X11,719.296661,1
42,X12,571.0489704,1
42,X2,273.3638672,1
42,X3,518.2069563,1
42,X4,331.9547803,1
42,X5,273.7134331,1
42,X6,518.268662,1
42,X7,571.8864796,1
42,X8,566.7048828,1
42,X9,701.869507,1
43,X1,331.2963303,1
43,X10,630.5901259,1
43,X11,720.69613,1
43,X12,571.932297,1
43,X2,273.4828062,1
43,X3,518.0212205,1
43,X4,331.27369,1
43,X5,273.711977,1
43,X6,518.4302155,1
43,X7,571.3322595,1
43,X8,566.1763073,1
43,X9,701.1211488,1
44,X1,331.1110455,1
44,X10,631.7419725,1
44,X11,719.6881274,1
44,X12,571.9017283,1
44,X2,273.4487441,1
44,X3,518.1196842,1
44,X4,331.6152488,1
44,X5,273.8471373,1
44,X6,518.9195377,1
44,X7,571.7370605,1
44,X8,566.6652748,1
44,X9,701.6432285,1
45,X1,331.0319852,1
45,X10,631.6297795,1
45,X11,720.1142475,1
45,X12,571.9779374,1
45,X2,273.1409127,1
45,X3,519.2851792,1
45,X4,331.6937176,1
45,X5,273.5804314,1
45,X6,519.3309387,1
45,X7,571.8261177,1
45,X8,566.2348871,1
45,X9,701.6886175,1
46,X1,331.7890988,1
46,X10,631.0499182,1
46,X11,720.0613495,1
46,X12,571.7277663,1
46,X2,274.791542,1
46,X3,518.9339335,1
46,X4,331.1111448,1
46,X5,274.8692182,1
46,X6,518.5076603,1
46,X7,571.7647427,1
46,X8,567.3122046,1
46,X9,701.0993323,1
47,X1,332.6009081,1
47,X10,630.7049399,1
47,X11,720.3650682,1
47,X12,571.7565024,1
47,X2,273.4453744,1
47,X3,518.1517408,1
47,X4,332.739664,1
47,X5,273.3386049,1
47,X6,518.3052972,1
47,X7,571.1653778,1
47,X8,566.4923178,1
47,X9,700.405082,1
48,X1,333.7142775,1
48,X10,630.7359631,1
48,X11,720.2553654,1
48,X12,571.3359343,1
48,X2,273.7832645,1
48,X3,518.7826574,1
48,X4,333.7823712,1
48,X5,273.9636688,1
48,X6,518.6163338,1
48,X7,571.1485282,1
48,X8,566.6154227,1
48,X9,701.5496697,1
49,X1,331.8171464,1
49,X10,631.5889391,1
49,X11,720.5142551,1
49,X12,571.6218187,1
49,X2,273.4726947,1
49,X3,518.3183524,1
49,X4,331.6164313,1
49,X5,273.7098744,1
49,X6,518.0379028,1
49,X7,571.9170699,1
49,X8,566.6540939,1
49,X9,701.4437929,1
50,X1,331.5013937,1
50,X10,630.8984611,1
50,X11,720.9874987,1
50,X12,571.5589353,1
50,X2,274.5573698,1
50,X3,519.22103,1
50,X4,331.2353749,1
50,X5,274.7369168,1
50,X6,519.80651,1
50,X7,571.2779772,1
50,X8,566.3950506,1
50,X9,700.5253204,1
51,X1,331.5935169,1
51,X10,631.315447,1
51,X11,720.4367311,1
51,X12,571.5202121,1
51,X2,274.6578281,1
51,X3,518.6127136,1
51,X4,331.8409752,1
51,X5,274.428454,1
51,X6,518.0226117,1
51,X7,571.9515057,1
51,X8,566.8587776,1
51,X9,700.5366481,1
52,X1,331.3558568,1
52,X10,631.5416898,1
52,X11,720.7968318,1
52,X12,571.3060294,1
52,X2,274.3546659,1
52,X3,518.1415017,1
52,X4,331.0154412,1
52,X5,274.0222847,1
52,X6,518.516152,1
52,X7,571.688579,1
52,X8,566.7398751,1
52,X9,701.5259818,1
53,X1,331.6438615,1
53,X10,631.1299943,1
53,X11,720.5706751,1
53,X12,571.989213,1
53,X2,273.5313351,1
53,X3,519.0540777,1
53,X4,331.3116236,1
53,X5,273.2166755,1
53,X6,519.9929626,1
53,X7,571.9775514,1
53,X8,566.0246524,1
53,X9,701.4148936,1
54,X1,332.0182236,1
54,X10,631.4033728,1
54,X11,720.4911383,1
54,X12,571.205564,1
54,X2,273.3523916,1
54,X3,519.4887376,1
54,X4,332.2403484,1
54,X5,273.0130817,1
54,X6,519.4506429,1
54,X7,571.533157,1
54,X8,566.8828419,1
54,X9,701.2071657,1
55,X1,332.4744349,1
55,X10,631.8593424,1
55,X11,720.0520481,1
55,X12,571.2510747,1
55,X2,274.4103335,1
55,X3,519.5669297,1
55,X4,332.7930778,1
55,X5,274.2544526,1
55,X6,519.6826851,1
55,X7,571.4463134,1
55,X8,566.848141,1
55,X9,701.1726588,1
56,X1,331.8009686,1
56,X10,631.9061645,1
56,X11,720.9857661,1
56,X12,571.8314475,1
56,X2,273.8461277,1
56,X3,518.1410122,1
56,X4,331.333883,1
56,X5,273.0023953,1
56,X6,518.9460273,1
56,X7,571.4118405,1
56,X8,567.5043534,1
56,X9,700.6863043,1
57,X1,331.9290451,1
57,X10,631.9263604,1
57,X11,720.7655981,1
57,X12,571.747277,1
57,X2,273.686938,1
57,X3,518.4519089,1
57,X4,331.4295631,1
57,X5,273.4951391,1
57,X6,518.2175859,1
57,X7,571.5748443,1
57,X8,566.1145615,1
57,X9,701.9108436,1
58,X1,332.5922495,1
58,X10,631.7488897,1
58,X11,720.3016696,1
58,X12,571.2379014,1
58,X2,274.6799976,1
58,X3,518.9366365,1
58,X4,332.8458588,1
58,X5,274.8883587,1
58,X6,518.838345,1
58,X7,571.3138471,1
58,X8,567.5942666,1
58,X9,701.9934048,1
59,X1,332.3864553,1
59,X10,631.6028663,1
59,X11,721.4275708,1
59,X12,571.9629367,1
59,X2,273.5069514,1
59,X3,518.4142371,1
59,X4,332.9772035,1
59,X5,273.9005226,1
59,X6,518.6127536,1
59,X7,571.5194634,1
59,X8,567.5537028,1
59,X9,701.4352984,1
60,X1,331.0154214,1
60,X10,631.6239622,1
60,X11,720.3761489,1
60,X12,571.5250884,1
60,X2,274.5809945,1
60,X3,519.2884992,1
60,X4,331.4574911,1
60,X5,274.608348,1
60,X6,519.5259402,1
60,X7,571.4719321,1
60,X8,566.8988071,1
60,X9,701.6850945,1
61,X1,334.8063472,1
61,X10,631.2913255,1
61,X11,721.8546686,1
61,X12,571.7954174,1
61,X2,274.1505552,1
61,X3,519.0574231,1
61,X4,334.1799468,1
61,X5,274.934435,1
61,X6,519.9618018,1
61,X7,571.4973669,1
61,X8,566.3829259,1
61,X9,701.1602388,1
62,X1,331.8850706,1
62,X10,631.3134513,1
62,X11,721.6821792,1
62,X12,571.9907722,1
62,X2,273.161551,1
62,X3,518.0000166,1
62,X4,331.2197884,1
62,X5,273.9119763,1
62,X6,518.6374655,1
62,X7,571.3700802,1
62,X8,566.5933839,1
62,X9,701.7653275,1
63,X1,331.7550596,1
63,X10,631.8560122,1
63,X11,720.7614827,1
63,X12,571.0756534,1
63,X2,274.2612655,1
63,X3,518.03038,1
63,X4,331.7239191,1
63,X5,274.8613482,1
63,X6,518.5626076,1
63,X7,571.4737257,1
63,X8,567.2503768,1
63,X9,701.1402565,1
64,X1,332.0458601,1
64,X10,631.9987017,1
64,X11,721.6170565,1
64,X12,571.5479944,1
64,X2,274.6511345,1
64,X3,519.4493132,1
64,X4,332.6470021,1
64,X5,274.4980137,1
64,X6,519.7249821,1
64,X7,571.7370114,1
64,X8,566.0032976,1
64,X9,701.0472481,1
65,X1,331.5743219,1
65,X10,632.0961065,1
65,X11,721.2089737,1
65,X12,571.4358335,1
65,X2,274.9903185,1
65,X3,519.9631185,1
65,X4,331.8660541,1
65,X5,274.7192257,1
65,X6,519.5846071,1
65,X7,571.3604675,1
65,X8,566.3494793,1
65,X9,701.5757813,1
66,X1,332.1460717,1
66,X10,631.5164986,1
66,X11,721.0597874,1
66,X12,571.7025292,1
66,X2,273.7348073,1
66,X3,519.3320578,1
66,X4,332.2538191,1
66,X5,273.2569954,1
66,X6,519.332661,1
66,X7,571.915293,1
66,X8,566.6894743,1
66,X9,701.5004379,1
67,X1,331.462247,1
67,X10,631.1792833,1
67,X11,721.9836206,1
67,X12,571.3390879,1
67,X2,274.9739571,1
67,X3,519.6836165,1
67,X4,331.3907973,1
67,X5,274.7672891,1
67,X6,519.3981209,1
67,X7,571.5136865,1
67,X8,567.2409489,1
67,X9,701.4982463,1
68,X1,331.7616332,1
68,X10,631.9748048,1
68,X11,720.2792162,1
68,X12,571.061123,1
68,X2,274.4304597,1
68,X3,518.2926999,1
68,X4,331.37369,1
68,X5,274.4355791,1
68,X6,518.6184407,1
68,X7,571.3638776,1
68,X8,567.18902,1
68,X9,701.6547605,1
69,X1,332.0927107,1
69,X10,632.7982686,1
69,X11,721.4577712,1
69,X12,572.8046832,1
69,X2,274.815383,1
69,X3,518.4649102,1
69,X4,332.5148772,1
69,X5,274.2325076,1
69,X6,518.7666132,1
69,X7,572.905023,1
69,X8,567.3083448,1
69,X9,701.0240328,1
70,X1,332.0905234,1
70,X10,632.7823508,1
70,X11,721.2176199,1
70,X12,571.9812331,1
70,X2,273.4595753,1
70,X3,519.1312504,1
70,X4,332.6502496,1
70,X5,273.021197,1
70,X6,519.5062139,1
70,X7,571.7106235,1
70,X8,566.3436323,1
70,X9,701.1291048,1
71,X1,331.5684144,1
71,X10,631.5881835,1
71,X11,721.5921929,1
71,X12,571.2460182,1
71,X2,273.6874715,1
71,X3,518.9290349,1
71,X4,331.022894,1
71,X5,273.537146,1
71,X6,518.7751816,1
71,X7,571.7801114,1
71,X8,567.5348671,1
71,X9,701.470558,1
72,X1,333.5340596,1
72,X10,631.9167555,1
72,X11,721.9178149,1
72,X12,571.7479771,1
72,X2,273.5218047,1
72,X3,518.4672339,1
72,X4,333.7807344,1
72,X5,273.5777671,1
72,X6,518.3329467,1
72,X7,571.8623627,1
72,X8,567.2618517,1
72,X9,701.7548974,1
73,X1,332.1337622,1
73,X10,631.7576212,1
73,X11,721.1275882,1
73,X12,571.2902124,1
73,X2,273.3912219,1
73,X3,518.7157739,1
73,X4,332.2826847,1
73,X5,273.2896596,1
73,X6,518.3780846,1
73,X7,571.4221398,1
73,X8,567.6781223,1
73,X9,701.0047406,1
74,X1,334.7289058,1
74,X10,631.5034362,1
74,X11,721.3967472,1
74,X12,571.7601615,1
74,X2,273.2133164,1
74,X3,519.5566719,1
74,X4,334.9814649,1
74,X5,273.895004,1
74,X6,519.8655164,1
74,X7,571.2245991,1
74,X8,567.9867924,1
74,X9,701.9580847,1
75,X1,332.1915186,1
75,X10,631.4190254,1
75,X11,721.4412436,1
75,X12,572.7418364,1
75,X2,273.9823459,1
75,X3,518.4878973,1
75,X4,332.9502371,1
75,X5,273.4969895,1
75,X6,518.1009088,1
75,X7,572.4575831,1
75,X8,567.2281968,1
75,X9,701.7378237,1
76,X1,331.4071749,1
76,X10,632.9316099,1
76,X11,721.7231241,1
76,X12,571.2373608,1
76,X2,273.8990255,1
76,X3,518.8202909,1
76,X4,331.5910981,1
76,X5,273.7264324,1
76,X6,518.5848394,1
76,X7,571.0976572,1
76,X8,567.9112179,1
76,X9,701.6491447,1
77,X1,331.3025066,1
77,X10,632.9105325,1
77,X11,721.9556263,1
77,X12,572.7446857,1
77,X2,273.5715657,1
77,X3,518.1402069,1
77,X4,331.6014237,1
77,X5,273.7730804,1
77,X6,518.0690389,1
77,X7,572.4507711,1
77,X8,567.8340258,1
77,X9,701.5165431,1
78,X1,333.5857634,1
78,X10,632.4278134,1
78,X11,722.1725092,1
78,X12,572.4146072,1
78,X2,274.2233522,1
78,X3,519.9932593,1
78,X4,333.4237832,1
78,X5,274.1948903,1
78,X6,519.8942341,1
78,X7,572.3276968,1
78,X8,567.0636781,1
78,X9,701.1064243,1
79,X1,331.8097351,1
79,X10,632.9889231,1
79,X11,721.1297272,1
79,X12,572.856215,1
79,X2,273.2837041,1
79,X3,519.4414267,1
79,X4,331.3164599,1
79,X5,273.9057231,1
79,X6,519.7571403,1
79,X7,572.8287167,1
79,X8,567.6692045,1
79,X9,702.8555361,1
80,X1,331.5879585,1
80,X10,632.1387253,1
80,X11,721.6860369,1
80,X12,571.5316028,1
80,X2,273.4590996,1
80,X3,519.8264912,1
80,X4,331.1913938,1
80,X5,273.2581315,1
80,X6,519.9657024,1
80,X7,571.440644,1
80,X8,567.4140227,1
80,X9,701.7609829,1
81,X1,331.5992487,1
81,X10,632.1684919,1
81,X11,722.1440127,1
81,X12,572.5155074,1
81,X2,274.7379649,1
81,X3,518.743631,1
81,X4,331.3108078,1
81,X5,274.7397655,1
81,X6,518.1016635,1
81,X7,572.5654053,1
81,X8,567.3668058,1
81,X9,701.5693091,1
82,X1,332.9490091,1
82,X10,632.5566912,1
82,X11,722.9990907,1
82,X12,572.564384,1
82,X2,273.5833995,1
82,X3,519.2909289,1
82,X4,332.1049602,1
82,X5,273.8042871,1
82,X6,519.1411115,1
82,X7,572.2146231,1
82,X8,567.1485155,1
82,X9,701.7266384,1
83,X1,332.8800264,1
83,X10,632.8730788,1
83,X11,722.4772682,1
83,X12,572.2076851,1
83,X2,273.9204009,1
83,X3,518.7319277,1
83,X4,332.0869033,1
83,X5,273.6970186,1
83,X6,518.1300852,1
83,X7,572.3462396,1
83,X8,567.226014,1
83,X9,701.0119718,1
84,X1,332.3937265,1
84,X10,632.1903527,1
84,X11,722.7669426,1
84,X12,572.0102226,1
84,X2,273.1200868,1
84,X3,519.8919633,1
84,X4,332.1572814,1
84,X5,273.0496205,1
84,X6,519.2698306,1
84,X7,572.1910362,1
84,X8,567.2948006,1
84,X9,701.8702943,1
85,X1,332.9080152,1
85,X10,632.3731258,1
85,X11,722.4389037,1
85,X12,572.5485361,1
85,X2,273.8919528,1
85,X3,520.2486216,1
85,X4,332.8476459,1
85,X5,273.6330525,1
85,X6,520.2577609,1
85,X7,572.6106288,1
85,X8,567.3007904,1
85,X9,701.6057026,1
86,X1,331.5233262,1
86,X10,632.8177522,1
86,X11,722.805887,1
86,X12,572.5205334,1
86,X2,273.9900301,1
86,X3,519.4560978,1
86,X4,331.8102488,1
86,X5,273.2570979,1
86,X6,519.669802,1
86,X7,572.9081983,1
86,X8,567.2895934,1
86,X9,702.690099,1
87,X1,332.4552721,1
87,X10,632.9580878,1
87,X11,722.4775193,1
87,X12,571.4239117,1
87,X2,273.1266995,1
87,X3,519.9143708,1
87,X4,332.3442755,1
87,X5,273.3621684,1
87,X6,519.1196091,1
87,X7,571.2155994,1
87,X8,567.6387556,1
87,X9,702.0125361,1
88,X1,332.2644466,1
88,X10,632.3038655,1
88,X11,721.8410631,1
88,X12,572.3874695,1
88,X2,274.8295105,1
88,X3,519.7926017,1
88,X4,332.2574577,1
88,X5,274.305028,1
88,X6,519.2655767,1
88,X7,572.3238204,1
88,X8,567.7327079,1
88,X9,702.8294472,1
89,X1,332.2419744,1
89,X10,632.8526604,1
89,X11,723.2267426,1
89,X12,572.5136685,1
89,X2,274.9024893,1
89,X3,519.6257507,1
89,X4,332.8265211,1
89,X5,274.2866046,1
89,X6,519.5206072,1
89,X7,572.5111078,1
89,X8,567.8028335,1
89,X9,701.6320003,1
90,X1,333.7165896,1
90,X10,633.1476136,1
90,X11,722.2651824,1
90,X12,572.5467631,1
90,X2,274.7897255,1
90,X3,519.8970343,1
90,X4,333.5497461,1
90,X5,274.620271,1
90,X6,519.5346386,1
90,X7,572.7910955,1
90,X8,567.0106587,1
90,X9,702.9134744,1
91,X1,332.1509464,1
91,X10,632.295054,1
